REPORT NAME,SP
SO_002_Top50ChainReport,Missing
SO_003_ProductSalesReport(ALLComp),mer.uspProductSales_AllComp
SO_004_ProductSalesReport(ByStore),mer.uspProductSales_ByStore
SO_004_ProductSalesReport(ByStore),Missing
SO_004_ProductSalesReport(ByStore),mer.uspProductSales_CatByStore
SO_004_ProductSalesReport(ByStore),mer.uspProductSales_MixBrandByStore
SO_004_ProductSalesReport(ByStore),mer.uspProductSales_MixCatByStore
SO_005_ProductSalesReport(ByDistrict),mer.uspProductSales_BrandByDistrict
SO_005_ProductSalesReport(ByDistrict),Missing
SO_005_ProductSalesReport(ByDistrict),mer.uspProductSales_CatByDistrict
SO_006_PMTrendReport,mer.uspAptosGMTrendReport
 SO_007_CustomerReturnReport,mer.uspCustomerReturnReport
SO_008_SalesByPricePointReport,usp_rpt_SalesbyPricePoint
 SO_009_SpiffReport(Summary),Missing
SO_011_EmployeeSalesReport,Missing
 SO_014_OmniChannelFulfillment_MTD,mer.uspAptosOmniChannelFulfillment_MTD
 SO_014_OmniChannelFulfillment_MTD,mer.uspAptosOmniChannelFulfillment_MTD
SO_018_ProductSalesReportAdhoc,mer.uspProductSalesByStoreAdhoc
SO_018_ProductSalesReportAdhoc,mer.uspProductSalesCatByStoreAdhoc
SO_018_ProductSalesReportAdhoc,Missing
SO_018_ProductSalesReportAdhoc,mer.uspProductSalesMixBrandByStoreAdhoc
SO_018_ProductSalesReportAdhoc,mer.uspProductSalesMixCatByStoreAdhoc
SO_019_StoreSalesResultsvsPlan,mer.uspStoreSalevsPlan
SO_019_StoreSalesResultsvsPlan,Missing
 SO_020_OmniChannelSalesReport,usp_rpt_OmniChannelSalesDetailwithBW
 SO_023_LoyaltyReport,usp_rpt_LoyaltyReport
 SO_024_SPIFFPayoutReport,Missing
 SO_025_FlashSalesExceptionReport,Missing
 SO_026_MealPenalty_CorporateReport,usp_rpt_CorporateReport
SO_027_MealPenaltyReport,usp_rpt_MealPenaltyReport_OPS
SO_027_MealPenaltyReport,usp_rpt_MealPenaltyReport_LP
SO_027_MealPenaltyReport,usp_rpt_MealPenaltyReport_Total
SO_027_MealPenaltyReport,usp_rpt_TrendResult_OPS
SO_027_MealPenaltyReport,usp_rpt_TrendResult_LP
SO_027_MealPenaltyReport,usp_rpt_TrendResult_Total
SO_027_MealPenaltyReport,usp_rpt_EmployeeDetails
SO_028_StoreManagerOvertimeReport,usp_rpt_SMOvertime_PercentofStores
SO_028_StoreManagerOvertimeReport,usp_rpt_SMOvertimeReport
SO_028_StoreManagerOvertimeReport,usp_rpt_SMOvertimeReport_Detail
 SO_029_AssetProtectionOvertimeReport,usp_rpt_AssestProOvertimeReport
 SO_029_AssetProtectionOvertimeReport,usp_rpt_AssestProOvertime_Detail
SO_030_AssetProtectionLaborReport,usp_rpt_AssestProLaborReport
SO_030_AssetProtectionLaborReport,usp_rpt_AssestProLaborReportDetail
SO_031_Omni_SPIFFPayoutReport,mer.uspOmniSpiffReport
SO_032_DepartmentSalesBySKUReport,Missing
SO_033_DepartmentSalesBySKUReport(BYDistrict),Missing
 SO_034_DepartmentSalesbySKU(TotalCompany),Missing
SO_036_FullMonthSalesRetailReport,usp_rpt_MonthlyRetailSalesReport_New
 SO_037_CustomerServiceCallCenterReport,mer.CallCenterSummary
 SO_037_CustomerServiceCallCenterReport,mer.CallCenterDetail
SO_039_LoyaltyTransactionsbyCashier,Missing
SO_041_RetailSalesReport,usp_rpt_RetailSalesReport_New_QTD
 SO_042_TransactionDetailsReview,Missing
 SO_043_HelpDeskCallCenterReport,mer.CallCenterHelpDeskSummary
 SO_043_HelpDeskCallCenterReport,mer.CallCenterHelpDeskDetail
 SO_046_DailySalesFlash,usp_rpt_DailyFlashDetail
 SO_046_DailySalesFlash,usp_rpt_DailyFlashTotal
SO_047_MobilePriceCheckReport,Missing
SO_048_DailyStoreRecap,usp_rpt_DailyStoreRecapYesterday
SO_048_DailyStoreRecap,usp_rpt_DailyStoreRecapWTD
SO_048_DailyStoreRecap,usp_rpt_DailyStoreRecapMTD
SO_048_DailyStoreRecap,usp_rpt_DailyStoreRecapQTD
SO_048_DailyStoreRecap,usp_rpt_DailyStoreRecapYTD
 SO_049_COLaborReport,usp_rpt_AssestProCOLaborReport
 SO_049_COLaborReport,usp_rpt_AssestProCOLaborReportDetail
 SO_050_TrafficYOYMarketingReport,dbo.TrafficMarketing
