SERVER,DB,SCHEMA,TABLE
EPICORSQL,WSS_APTOS,dbo,transaction_reason
Missing,WSS_APTOS,Missing,Missing
EPICORSQL,WSS_APTOS,dbo,enum_po_status
EPICORSQL,WSS_APTOS,dbo,po
EPICORSQL,WSS_APTOS,dbo,po_receipt_detail
PHXWAWSSDB2P,WSS_APTOS,dbo,t_al_host_receipt
TEMP4,WSS_APTOS,Missing,Missing
EPICORSQL,WSS_APTOS,dbo,color
EPICORSQL,WSS_APTOS,dbo,inventory_status_data
EPICORSQL,WSS_APTOS,dbo,style_color
EPICORSQL,WSS_APTOS,dbo,style_group
EPICORSQL,WSS_APTOS,dbo,enum_document_status
EPICORSQL,WSS_APTOS,dbo,inv_move_req_from_loc
EPICORSQL,WSS_APTOS,dbo,inv_move_request_detail
EPICORSQL,WSS_APTOS,dbo,inventory_move_request
EPICORSQL,WSS_APTOS,dbo,Location
AZUSW1DWSQL02,WSS_APTOS,dbo,Products
EPICORSQL,WSS_APTOS,dbo,transfer
EPICORSQL,WSS_APTOS,dbo,transfer_detail
EPICORSQL,WSS_APTOS,dbo,Sku
AZUSW1DWSQL02,Missing,dbo,BaseballListDetail
AZUSW1DWSQL02,Missing,dbo,CustomerDetail
AZUSW1APSQL03,Missing,dbo,FloridaCustomerLoyalty
azusw1apsql03,WSS_APTOS,mer,uspAptosHierarchyByStyle
EPICORSQL,WSS_APTOS,dbo,calendar_date
azusw1apsql03,WSS_APTOS,mer,EcomWeeklySalesSummary
EPICORSQL,WSS_APTOS,dbo,hist_oh_style_loc_wk
EPICORSQL,WSS_APTOS,dbo,hist_style_loc_wk
EPICORSQL,WSS_APTOS,dbo,ib_on_order
EPICORSQL,WSS_APTOS,dbo,season
azusw1apsql03,WSS_APTOS,dbo,WebStyle
EPICORSQL,Missing,dbo,hierarchy_group
AZUSW1DWSQL02,WSS_APTOS,dbo,Dates
PHXWAWSSDB2P,WSS_APTOS,dbo,t_receipt
AZUSW1DWSQL02,Missing,dbo,Dates 
PHXWAWSSDB2P,WSS_APTOS,dbo,t_al_host_shipment_detail
PHXWAWSSDB2P,WSS_APTOS,AADUtilUser,t_order_HIST
EPICORSQL,WSS_APTOS,dbo,min_max_profile
EPICORSQL,Missing,dbo,attribute
EPICORSQL,Missing,dbo,attribute_set
EPICORSQL,Missing,dbo,entity_attribute_set
EPICORSQL,Missing,dbo,hist_oh_style_loc_wk
EPICORSQL,Missing,dbo,hist_style_loc_yr
EPICORSQL,Missing,dbo,ib_on_order
EPICORSQL,Missing,dbo,ib_price
EPICORSQL,Missing,dbo,price_status
EPICORSQL,Missing,dbo,season
azusw1apsql03,Missing,dbo,Style
EPICORSQL,Missing,dbo,style_retail
EPICORSQL,Missing,dbo,style_vendor
EPICORSQL,Missing,dbo,vendor
azusw1apsql03,Missing,mer,YearlySalesSummary
EPICORSQL,Missing,dbo,hist_style_loc_wk
azusw1apsql03,Missing,mer,QuarterlySalesSummary
azusw1apsql03,Missing,mer,MonthlySalesSummary
EPICORSQL,WSS_APTOS,dbo,po_message
EPICORSQL,WSS_APTOS,dbo,po_shipment
EPICORSQL,Missing,dbo,Style_group
EPICORSQL,Missing,dbo,view_hierarchy_attribute_outer
EPICORSQL,Missing,dbo,plu_merch_group_linking
EPICORSQL,WSS_APTOS,dbo,entity_attachment
EPICORSQL,WSS_APTOS,dbo,address
EPICORSQL,WSS_APTOS,dbo,country
EPICORSQL,WSS_APTOS,dbo,currency
EPICORSQL,WSS_APTOS,dbo,terms
EPICORSQL,WSS_APTOS,dbo,transaction_type_data
azusw1apsql03,WSS_APTOS,dbo,Non_NRF_Calendar
EPICORSQL,WSS_APTOS,dbo,upc
azusw1apsql03,WSS_APTOS,dbo,NewStyleReleaseApp
EPICORSQL,WSS_APTOS,dbo,store_shipment
EPICORSQL,WSS_APTOS,dbo,store_shipment_detail
EPICORSQL,WSS_APTOS,dbo,Style
azusw1apsql03,Missing,dbo,ColdSalesSummary
azusw1apsql03,Missing,dbo,HotSalesSummary
EPICORSQL,Missing,dbo,ib_audit_trail
EPICORSQL,Missing,dbo,inv_move_request_detail
EPICORSQL,Missing,dbo,inventory_move_request
azusw1apsql03,Missing,dbo,LastStoreReceiptDate
EPICORSQL,Missing,dbo,location_group
azusw1apsql03,Missing,dbo,SalesbyStoreForSixWeek
azusw1apsql03,Missing,mer,WeeklySalesSummary
azusw1apsql03,Missing,mer,DepartmentSalesbySku
azusw1apsql03,WSS_APTOS,dbo,ColdSalesSummary
azusw1apsql03,WSS_APTOS,dbo,HotSalesSummary
EPICORSQL,WSS_APTOS,dbo,ib_audit_trail
azusw1apsql03,WSS_APTOS,dbo,LastStoreReceiptDate
azusw1apsql03,WSS_APTOS,dbo,SalesbyStoreForSixWeek
azusw1apsql03,WSS_APTOS,mer,WeeklySalesSummary
EPICORSQL,Missing,dbo,Location
EPICORSQL,WSS_APTOS,dbo,style_status
azusw1apsql03,Missing,mer,uspAptosRoutingReport
azusw1apsql03,WSS_APTOS,dbo,RoutingReport
azusw1apsql03,Missing,APTOS,mer
EPICORSQL,WSS_APTOS,dbo,hist_oh_sku_loc_wk
azusw1apsql03,WSS_APTOS,mer,HOUInStock
azusw1apsql03,WSS_APTOS,mer,Instock
azusw1dwsql02,WSS_APTOS,dbo,stores
AZUSW1DWSQL02,WSS_APTOS,dbo,TransactionDetail
EPICORSQLStyle_list,Missing,Missing,Missing
EPICORSQLStyle_list_item,Missing,Missing,Missing
EPICORSQLStyle,Missing,Missing,Missing
EPICORSQL,WSS_APTOS,dbo,position_data
EPICORSQL,WSS_APTOS,dbo,po_location
azusw1apsql03,WSS_APTOS,mer,Mobile_Price_Test
EPICORSQL,Missing,dbo,distribution
EPICORSQL,Missing,dbo,dist_detail
EPICORSQL,Missing,dbo,enum_distribution_status
EPICORSQL,Missing,dbo,enum_document_source
EPICORSQL,Missing,dbo,enum_distribution_source
PHXWAWSSDB2P,Missing,dbo,t_order_tt
PHXWAWSSDB2P,Missing,AADUtilUser,t_pick_detail_HIST
PHXWAWSSDB2P,Missing,AADUtilUser,t_order_HIST
azusw1apsql03,Missing,mer,WeeklySalesSummaryHouston
azusw1apsql03,WSS_APTOS,dbo,FinanceSkuUPC
EPICORSQL,WSS_APTOS,dbo,cost_factor
EPICORSQL,WSS_APTOS,dbo,po_attribute_set
EPICORSQL,WSS_APTOS,dbo,po_line
EPICORSQL,WSS_APTOS,dbo,po_line_cost_factor
azusw1apsql03WSS_APTOS,Missing,WeeklySalesSummary,Missing
EPICORSQL,WSS_APTOS,dbo,PO
azusw1apsql03WSS_APTOS,Missing,InStock,Missing
azusw1apsql03WSS_APTOS,Missing,HOUInStock,Missing
AZUSW1DWSQL02,WSS_APTOS,dbo,CompSalesByDay
AZUSW1DWSQL02,WSS_APTOS,WSS\lcacho2,DTCSalesBudget
AZUSW1DWSQL02,WSS_APTOS,dbo,EcomSales
AZUSW1DWSQL02,WSS_APTOS,dbo,EcomTransactiondetail
AZUSW1DWSQL02,WSS_APTOS,dbo,MobileSales
AZUSW1DWSQL02,WSS_APTOS,dbo,MobileTransactiondetail
AZUSW1DWSQL02,WSS_APTOS,dbo,SalesBudget
AZUSW1DWSQL02,WSS_APTOS,dbo,SalesbyDay
AZUSW1DWSQL02,WSS_APTOS,WSS\lcacho2,SalesForecast
WSS_DMdbo,WSS_DM,Missing,Missing
WSS_DM,WSS_DM,Stores,Missing
AZUSW1APSQL03,WSS_APTOS,dbo,Mobile_Inventory
AZUSW1APSQL03,WSS_APTOS,mer,WeeklySalesSummary
AZUSW1DWSQL02,WSS_APTOS,dbo,compsalesbyday
AZUSW1DWSQL02,Missing,dbo,compsalesbyday
azusw1dwsql02,WSS_DM,dbo,Dates
azusw1dwsql02,WSS_DM,dbo,Products2021
azusw1dwsql02,WSS_DM,dbo,TransactionDetail
azusw1dwsql02,WSS_DM,dbo,ufnGetLastDayofPreviousWeek
azusw1dwsql02,Missing,dbo,SpiffSummary
azusw1dwsql02,Missing,dbo,SpiffDetail
azusw1apsql03,Missing,dbo,EmployeeSalesDetail
azusw1dwsql02,WSS_DM,dbo,CompExclusions
azusw1dwsql02,WSS_DM,dbo,OCDailyTargets
azusw1dwsql02,WSS_DM,dbo,Stores
azusw1dwsql02,WSS_DM,dbo,TransactionDetailHistory
azusw1dwsql02,WSS_DM,dbo,Sales
azusw1dwsql02,Missing,dbo,Products2021
azusw1dwsql02,Missing,dbo,TransactionDetail
azusw1apsql03,Missing,dbo,FlashSalesTable
azusw1dwsql02,WSS_DM,dbo,ufnGetFirstDayofCurrentMerchYear
azusw1dwsql02,WSS_DM,dbo,ufnGetLastDayofCurrentMerchYearforWeeklyReporting
azusw1dwsql02,WSS_DM,dbo,ufnGetFirstDayofPreviousMerchYear
azusw1dwsql02,WSS_DM,dbo,ufnGetLastDayofCurrentMerchYear
azusw1dwsql02,WSS_DM,dbo,ufnGetLastDayofPreviousMerchYear
azusw1dwsql02,WSS_DM,dbo,APStoreList
azusw1dwsql02,WSS_DM,dbo,APBaseTarget
azusw1dwsql02,WSS_DM,dbo,APProjectHour
azusw1dwsql02,WSS_DM,dbo,ufnGetFirstDayofCurrentMerchMonthforWeeklyReporting
azusw1dwsql02,WSS_DM,dbo,ufnGetLastDayofCurrentMerchMonthforWeeklyReporting
azusw1apsql03,Missing, mer,DepartmentSalesbySku
Date,Missing,Missing,Missing
 EPICORSQL,Missing,dbo,hierarchy_group
azusw1dwsql02,WSS_DM,dbo,ClosureTrafficExclusions
azusw1dwsql02,WSS_DM,dbo,CompFlag
azusw1dwsql02,WSS_DM,dbo,CompSalesByDay
azusw1dwsql02,WSS_DM,dbo,CounterTrafficExclusions
azusw1dwsql02,WSS_DM,dbo,CustomerTrafficSummary
azusw1dwsql02,WSS_DM,dbo,SalesBudget
azusw1dwsql02,WSS_DM,dbo,SalesByDay
azusw1apsql03,WSS_APTOS,dbo,CallCenter
azusw1apsql03,WSS_APTOS,dbo,usfn_get_Seconds
AZUSW1DWSQL02,Missing,dbo,LoyaltyTransByCashier
azusw1apsql03,Missing,dbo,TransactionDetailsReview
azusw1apsql03,WSS_APTOS,dbo,CallCenterHelpDesk
azusw1dwsql02,WSS_DM,dbo,StoreSalesPlan
azusw1apsql03,Missing,dbo,Mobile_Price_Test
azusw1dwsql02,WSS_DM,dbo,StoreDashboard
